,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
168, CircuitVerse.org ,https://summerofcode.withgoogle.com//programs/2024/organizations/circuitverseorg,Build and learn logic circuits in the cloud!,"javascript, rails, canvas, vue","education, web, simulation, pedagogy, digital logic design",http://circuitverse.org/,5
169, Wagtail ,https://summerofcode.withgoogle.com//programs/2024/organizations/wagtail,The powerful Python CMS for modern websites,"python, javascript, django","web, accessibility, cms",https://wagtail.org/,2
170, Synfig ,https://summerofcode.withgoogle.com//programs/2024/organizations/synfig,Open-source 2D animation software,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",https://synfig.org,2
171, Wikimedia Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/wikimedia-foundation-nd,Bringing free educational content to the world,"javascript, html, php, css, Phyton","semantic web, wikipedia, wikimedia, mediawiki, i18n",http://wikimediafoundation.org/,9
172, ScummVM ,https://summerofcode.withgoogle.com//programs/2024/organizations/scummvm,Adventure and RPG preservation project,"python, opengl, c++, assembly, php","games, game engines, software preservation, software archeology",https://www.scummvm.org/,4
173, Nightwatch.js ,https://summerofcode.withgoogle.com//programs/2024/organizations/nightwatchjs,An integrated testing framework powered by Node.js,"javascript, selenium, node.js, typescript, WebDriver","unit testing, Functional Testing, End-To-End Testing, Component testing, Native mobile app testing",https://nightwatchjs.org,2
174, Rizin ,https://summerofcode.withgoogle.com//programs/2024/organizations/rizin,Rizin reverse engineering framework and toolset,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly",https://rizin.re,2
175, NixOS Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/nixos-foundation,Declarative builds and deployments,"git, nix","declarative, reproducible, InfrastrucutreAsCode",https://nixos.org/,4
176, UC OSPO ,https://summerofcode.withgoogle.com//programs/2024/organizations/uc-ospo,Amplifying Research Impact through Open Source,"python, c/c++, machine learning, verilog, VLSI","education, hardware, storage, AI/ML, I/O",https://ucsc-ospo.github.io/osre24/,18
177, C2SI ,https://summerofcode.withgoogle.com//programs/2024/organizations/c2si,C2SI develops FOSS softwares for everyone!!!,"python, java, go, nodejs, tensorflow","security, cloud, ai, mobile, software",https://c2si.org/,14
178, MetaCall ,https://summerofcode.withgoogle.com//programs/2024/organizations/metacall,Simplifying the embedding of programming languages,"python, c++, rust, nodejs, docker","cloud, polyglot, faas, languages, ffi",https://metacall.io,7
179, LabLua ,https://summerofcode.withgoogle.com//programs/2024/organizations/lablua,Programming Language Research with emphasis on Lua,"linux, lua, céu, pallene","compilers, scripting languages, kernel scripting, statically-typed languages",http://www.lua.inf.puc-rio.br,4
180, Plone Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/plone-foundation,"Python-based CMS, with React front-end.","python, javascript, react","web, cms",https://plone.org,3
181, National Resource for Network Biology (NRNB) ,https://summerofcode.withgoogle.com//programs/2024/organizations/national-resource-for-network-biology-nrnb,Developing open source tools for network biology,"python, javascript, java, html, r","web application, data science, graphics, scientific computing, network biology",https://nrnb.org/gsoc.html,11
182, KubeVirt ,https://summerofcode.withgoogle.com//programs/2024/organizations/kubevirt,Building a virtualization API for Kubernetes,"golang, grpc","virtualization, containers, kubernetes",https://kubevirt.io,2
183, The ENIGMA Team ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-enigma-team,A free rapid game development environment.,"opengl, c++, qt5, recursive-descent","graphics, game development, compiler, programming, game design",https://enigma-dev.org,2
184, ArduPilot ,https://summerofcode.withgoogle.com//programs/2024/organizations/ardupilot,World's most advanced autonomous vehicle software,"python, lua, c++, pixhawk","robotics, Drone, autonomous vehicle, UGV, unmanned vehicle",https://ardupilot.org/,4
185, Fortran-lang ,https://summerofcode.withgoogle.com//programs/2024/organizations/fortran-lang,High-performance parallel programming language,"python, c++, fortran","compilers, programming languages, build systems, libraries, Fortran",https://fortran-lang.org,3
186, GNU Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnu-project,Development of the GNU Operating System,"c, c++, gcc, autotools","tools, toolchain, command line, OS, binary tools",https://www.gnu.org,6
187, Zendalona ,https://summerofcode.withgoogle.com//programs/2024/organizations/zendalona,FOSS accessibility solutions for visually impaired,"python, javascript, android, gtk, qt","web, gui, accessibility, braille, gaming",https://zendalona.com/,4
188, MBDyn ,https://summerofcode.withgoogle.com//programs/2024/organizations/mbdyn,Open Source Multibody Simulation,"python, c++","robotics, scientific computing, multibody dynamics, aeroelasticity, Structural engineering",http://www.mbdyn.org/,1
189, Open Robotics ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-robotics,Open source software for robotics,"ros, gazebo, ignition, Open-RMF","robotics, simulation, fleet management",https://www.openrobotics.org/,5
190, AOSSIE ,https://summerofcode.withgoogle.com//programs/2024/organizations/aossie,Australian Umbrella Org for Open-Source Projects,"python, javascript, android, flutter, Blockchain","web, machine learning, natural language processing, mobile, backend",https://www.aossie.org,18
191, Accord Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/accord-project,Open source software for smart legal contracts,"python, javascript, react, rust, artificial intelligence","natural language processing, data modeling, legal technology, contract management, document assembly",https://accordproject.org,3
192, Project Mesa ,https://summerofcode.withgoogle.com//programs/2024/organizations/project-mesa,Mesa: Agent-based modeling in Python 3+,"python, javascript","Agent Based Models, Generative Science",https://mesa.readthedocs.io/en/latest/,3
193, Oppia Foundation ,https://summerofcode.withgoogle.com//programs/2024/organizations/oppia-foundation,"Free platform for interactive, tutor-like lessons","python, google app engine, angular, typescript, Apache Beam","education, web, ai, nonprofit, social impact",https://www.oppia.org,8
194, Organic Maps ,https://summerofcode.withgoogle.com//programs/2024/organizations/organic-maps,"Offline maps app for tourists, cyclers & hikers","android, java, c++, ios, OpenStreetMap","privacy, maps, navigation, mobile, offline",https://organicmaps.app,4
